Hour;WF 1;WF 2;WF 3;WF 4;WF 5;WF 6
1;110.3515939;102.3231242;151.6990635;83.41738686;137.3237932;131.2291879
2;118.6411716;155.2277457;148.2913289;108.0187966;143.8584703;159.5359212
3;160.8765903;162.6939334;156.6873524;139.1409718;141.3206406;137.7290215
4;181.036419;149.8981784;151.7194131;143.9549893;131.4839856;135.1517594
5;111.2734344;143.2112774;157.7288854;144.1565939;102.2338499;147.2548704
6;169.160216;157.2819963;161.4120111;149.1615833;132.980358;163.4325309
7;181.8207364;150.4047026;153.3727641;139.0638307;125.183851;129.5137875
8;144.2843888;150.5805895;133.6134649;144.3043863;144.0094004;111.2090705
9;162.1620646;148.1323037;198.2001147;122.9598792;125.0538364;167.5860218
10;83.46272172;157.7605012;158.8951285;131.9946088;114.4773706;127.0940306
11;86.87488078;166.8815113;158.4022648;140.591122;154.8833715;145.0912348
12;146.3072995;108.8529031;116.8972221;144.4750379;143.4703138;164.7936114
13;139.9792524;123.5047149;133.3954126;132.6202555;158.2718498;168.2619962
14;108.2215799;174.4158798;155.7940288;93.78359605;155.7480348;95.4138531
15;106.3931242;135.1577654;144.6846083;117.8217916;130.5634322;143.8191241
16;139.996105;137.1991181;193.1340149;98.75561647;147.230876;140.9769768
17;88.3358642;146.5015416;160.7649129;157.515559;148.2643266;165.0643612
18;134.6802794;152.2312603;151.9252792;95.63867145;154.0168822;143.7488309
19;105.6745682;156.3512557;153.3398805;98.04378193;127.0094693;131.9900827
20;157.5352617;141.4331842;150.4949736;152.6992598;138.2258785;133.5280019
21;154.9490008;153.0949477;160.4249123;159.9277036;142.3715895;82.71329958
22;119.6368721;133.0695946;144.8862542;148.6365058;132.9215162;156.7217722
23;134.7485955;145.3471812;176.8458613;166.719566;130.7069818;142.9524661
24;149.9517908;107.8788927;141.4561905;149.7508841;118.7897357;131.45866
